"","sex..","sex.F","sex.M","income1.0.2","income1.0.4","income1.0.6","income1.0.8","income1.1","same_city","same_count","seller_sco","dispersao","type.0","type.0.25","type.0.5","type.0.75","type.1","V10","V11","V12","fraud"
"1",0,0,1,1,0,0,0,0,0,0,0.767676767676768,0.134981627090873,0,0,0,0,1,0,1,5,"0"
"2",0,0,1,1,0,0,0,0,0,0,0.101010101010101,0.0789129985434364,0,0,0,0,1,0.114365411436541,0.885634588563459,8,"1"
"3",0,0,1,1,0,0,0,0,1,1,0.0505050505050505,0.0115112811073009,0,1,0,0,0,0.0742939898624185,0.925706010137581,4,"0"
"4",0,1,0,1,0,0,0,0,1,1,0.505050505050505,0.00975205192724784,1,0,0,0,0,0.0427818329278183,0.957218167072182,3,"0"
"5",0,0,1,1,0,0,0,0,1,1,0.313131313131313,0.00644045125566917,0,0,0,1,0,0.0301009372746936,0.969899062725306,3,"0"
"6",0,0,1,1,0,0,0,0,0,0,0.808080808080808,0.181971385266548,0,0,0,0,1,0,1,5,"0"
"7",0,1,0,1,0,0,0,0,0,1,0.808080808080808,0.0297485894021193,0,0,0,0,1,0,1,3,"0"
"8",0,0,1,1,0,0,0,0,1,1,0.232323232323232,0.00785492508852974,0,0,1,0,0,0.0359783845278726,0.964021615472127,2,"0"
"9",0,1,0,1,0,0,0,0,1,1,0.202020202020202,0.00608300323788954,0,1,0,0,0,0.0252552391187534,0.974744760881247,2,"0"
"10",0,1,0,1,0,0,0,0,0,1,0.111111111111111,0.0600738910812952,0,0,0,0,1,0.130074328187536,0.869925671812464,7,"0"
"11",0,1,0,1,0,0,0,0,1,1,0.878787878787879,0.00391630850106563,0,0,1,0,0,0,1,1,"0"
"12",0,0,1,1,0,0,0,0,1,1,0.888888888888889,0.00977936535132374,0,1,0,0,0,0,1,1,"0"
"13",1,0,0,1,0,0,0,0,0,1,0.626262626262626,0.0761123596042965,0,0,0,0,1,0.0507675938592491,0.949232406140751,6,"0"
"14",0,0,1,1,0,0,0,0,1,1,0.252525252525253,0.00891666226498407,0,1,0,0,0,0.00714688734248636,0.992853112657514,2,"0"
"15",0,0,1,1,0,0,0,0,1,1,0.474747474747475,0.0111357394705043,0,0,1,0,0,0.0100231303006939,0.989976869699306,2,"0"
"16",0,1,0,1,0,0,0,0,1,1,0.0606060606060606,0.00284846950651297,0,0,1,0,0,0.0742939898624185,0.925706010137581,4,"0"
